WebID,Area,Language,2021,2016,2011,2006,2001,Data Type
10,Australia,Swedish,9655.0,8959.0,7329.0,5903.0,4973.0,UR
10,Australia,Telugu,59393.0,34434.0,18723.0,8279.0,3485.0,UR
10,Australia,Tetum,1494.0,1107.0,954.0,843.0,728.0,UR
10,Australia,Thai,66574.0,55438.0,36665.0,23643.0,17293.0,UR
10,Australia,Tibetan,2400.0,1479.0,743.0,394.0,0.0,UR
10,Australia,Tokelauan,825.0,956.0,860.0,605.0,0.0,UR
10,Australia,Tongan,20750.0,17694.0,16005.0,12727.0,10550.0,UR
10,Australia,Tswana,552.0,444.0,440.0,507.0,0.0,UR
10,Australia,Ukrainian,6645.0,7675.0,7761.0,9017.0,10698.0,UR
10,Australia,Urdu,111864.0,69295.0,36835.0,19289.0,12476.0,UR
10,Australia,Uygur,1629.0,1020.0,872.0,369.0,0.0,UR
10,Australia,Wu,4183.0,3380.0,2064.0,1527.0,1023.0,UR
10,Australia,Yiddish,1486.0,1502.0,1762.0,1905.0,2667.0,UR
10,Australia,Tigrinya,6249.0,4579.0,2792.0,0.0,0.0,UR
10,Australia,Dari,29831.0,30426.0,20174.0,14311.0,0.0,UR
10,Australia,Hazaraghi,41675.0,22269.0,7609.0,0.0,0.0,UR
10,Australia,Lithuanian,1938.0,0.0,0.0,0.0,0.0,UR
10,Australia,Konkani,3636.0,0.0,0.0,0.0,0.0,UR
10,Australia,Rohingya,2264.0,0.0,0.0,0.0,0.0,UR
10,Australia,Akan,4070.0,0.0,0.0,0.0,0.0,UR
10,Australia,Mauritian Creole,1900.0,0.0,0.0,0.0,0.0,UR
10,Australia,Yoruba,4011.0,0.0,0.0,0.0,0.0,UR
10,Australia,Krio,2304.0,0.0,0.0,0.0,0.0,UR
10,Australia,Kirundi (Rundi),3248.0,0.0,0.0,0.0,0.0,UR
10,Australia,Tok Pisin (Neomelanesian),3623.0,0.0,0.0,0.0,0.0,UR
10,Australia,"Sign languages, nfd",2129.0,0.0,0.0,0.0,0.0,UR
10,Australia,Mongolian,5238.0,0.0,0.0,0.0,0.0,UR
